lat,lon,date,offense,street
41.62618,-86.264,2025-07-19T00:00:00Z,,Burnett
41.6262,-86.2639,2025-03-19T00:00:00Z,,Burnett
41.626228,-86.25739603,2024-04-03T00:00:00Z,,Ireland
41.626228,-86.25739603,2024-04-06T00:00:00Z,,Ireland
41.626228,-86.25739603,2024-04-14T00:00:00Z,,Ireland
41.626228,-86.25739603,2024-05-16T00:00:00Z,,Ireland
41.626228,-86.25739603,2024-06-01T00:00:00Z,,Ireland
41.626228,-86.25739603,2024-06-02T00:00:00Z,,Ireland
41.626228,-86.25739603,2024-06-20T00:00:00Z,,Ireland
41.626228,-86.25739603,2024-06-27T00:00:00Z,,Ireland
41.626228,-86.25739603,2024-07-18T00:00:00Z,,Ireland
41.626228,-86.25739603,2024-09-05T00:00:00Z,,Ireland
41.626228,-86.25739603,2024-09-07T00:00:00Z,,Ireland
41.626228,-86.25739603,2024-10-14T00:00:00Z,,Ireland
41.626228,-86.25739603,2024-10-25T00:00:00Z,,Ireland
41.626228,-86.25739603,2024-10-25T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-01-01T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-01-11T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-01-24T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-01-26T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-03-01T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-03-07T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-03-10T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-03-11T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-03-15T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-03-15T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-03-18T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-03-25T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-03-27T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-03-29T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-03-31T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-04-02T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-04-12T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-04-21T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-04-23T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-04-29T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-05-05T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-05-24T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-05-24T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-05-25T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-05-29T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-06-01T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-06-04T00:00:00Z,,Donald
41.626228001,-86.25739603,2022-06-06T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-06-16T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-06-29T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-07-21T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-07-28T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-08-22T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-09-01T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-09-16T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-10-11T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-10-13T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-10-25T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-10-28T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-10-29T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-11-01T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-11-07T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-11-11T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-11-23T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-12-29T00:00:00Z,,Ireland
41.626228001,-86.25739603,2022-12-29T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-01-03T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-01-06T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-01-12T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-01-18T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-01-18T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-01-19T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-01-23T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-01-23T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-01-28T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-02-07T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-02-08T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-02-11T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-02-17T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-02-22T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-03-02T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-03-02T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-03-10T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-03-11T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-03-13T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-03-14T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-03-20T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-04-06T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-04-12T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-04-16T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-04-17T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-05-03T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-05-17T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-05-19T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-05-21T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-06-14T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-06-30T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-07-09T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-07-28T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-07-28T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-09-05T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-09-15T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-09-20T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-09-26T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-10-10T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-10-16T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-11-15T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-11-18T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-11-20T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-11-30T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-12-22T00:00:00Z,,Ireland
41.626228001,-86.25739603,2023-12-27T00:00:00Z,,Ireland
41.626228001,-86.25739603,2024-01-06T00:00:00Z,,Ireland
41.626228001,-86.25739603,2024-01-14T00:00:00Z,,Ireland
41.626228001,-86.25739603,2024-02-03T00:00:00Z,,Ireland
41.626228001,-86.25739603,2024-02-08T00:00:00Z,,Ireland
41.626228001,-86.25739603,2024-02-12T00:00:00Z,,Ireland
41.626228001,-86.25739603,2024-02-21T00:00:00Z,,Ireland
41.626228001,-86.25739603,2024-02-22T00:00:00Z,,Ireland
41.626228001,-86.25739603,2024-02-22T00:00:00Z,,Ireland
41.626228001,-86.25739603,2024-02-25T00:00:00Z,,Ireland
41.626228001,-86.25739603,2024-03-06T00:00:00Z,,Ireland
41.626228001,-86.25739603,2024-03-14T00:00:00Z,,Ireland
41.626228001,-86.25739603,2024-03-14T00:00:00Z,,Ireland
41.626228001,-86.25739603,2024-03-24T00:00:00Z,,Ireland
41.62623,-86.2574,2024-08-07T00:00:00Z,,Ireland
41.62623,-86.2574,2024-08-21T00:00:00Z,,Ireland
41.62623,-86.2574,2024-08-22T00:00:00Z,,Ireland
41.62623,-86.2574,2024-11-01T00:00:00Z,,Ireland
41.62623,-86.2574,2024-11-22T00:00:00Z,,Ireland
41.62623,-86.2574,2024-11-23T00:00:00Z,,Ireland
41.62623,-86.2574,2024-11-26T00:00:00Z,,Ireland
41.62623,-86.2574,2025-04-10T00:00:00Z,,Ireland
41.62623,-86.2574,2025-04-10T00:00:00Z,,Ireland
41.62623,-86.2574,2025-05-10T00:00:00Z,,Ireland
41.62623,-86.2574,2025-06-01T00:00:00Z,,Ireland
41.62623,-86.2574,2025-06-06T00:00:00Z,,Ireland
41.62623,-86.2574,2025-06-08T00:00:00Z,,Ireland
41.62623,-86.2574,2025-07-05T00:00:00Z,,Ireland
41.62623,-86.2574,2025-07-13T00:00:00Z,,Ireland
41.62623,-86.2574,2025-07-18T00:00:00Z,,Ireland
41.62623,-86.2574,2025-07-26T00:00:00Z,,Ireland
41.62623,-86.2574,2025-07-28T00:00:00Z,,Ireland
41.62623,-86.2574,2025-07-29T00:00:00Z,,Ireland
41.626336,-86.25788,2025-02-02T00:00:00Z,,Ireland
41.626336,-86.25788,2025-02-11T00:00:00Z,,Ireland
41.626336,-86.25788,2025-02-18T00:00:00Z,,Ireland
41.626336,-86.25788,2025-02-25T00:00:00Z,,Ireland
41.62634,-86.2579,2025-01-01T00:00:00Z,,Ireland
41.62634,-86.2579,2025-03-05T00:00:00Z,,Ireland
41.62634,-86.2579,2025-03-14T00:00:00Z,,Ireland
41.62634,-86.2579,2025-03-28T00:00:00Z,,Ireland
41.62634,-86.2579,2025-04-03T00:00:00Z,,Ireland
41.62635,-86.2579,2025-07-29T00:00:00Z,,Ireland
41.62635,-86.2579,2025-08-04T00:00:00Z,,Ireland
41.62635,-86.2579,2025-08-05T00:00:00Z,,Ireland
41.62635,-86.2579,2025-08-11T00:00:00Z,,Ireland
41.62635,-86.2579,2025-08-14T00:00:00Z,,Ireland
41.62635,-86.2579,2025-08-16T00:00:00Z,,Ireland
41.62635,-86.2579,2025-08-18T00:00:00Z,,Ireland
41.62635,-86.2579,2025-08-21T00:00:00Z,,Ireland
41.62635,-86.2579,2025-08-26T00:00:00Z,,Ireland
41.62635,-86.2579,2025-08-26T00:00:00Z,,Ireland
41.62635,-86.2579,2025-08-27T00:00:00Z,,Ireland
41.62635,-86.2579,2025-08-30T00:00:00Z,,Ireland
41.62635,-86.2579,2025-09-04T00:00:00Z,,Ireland
